placeId,name,wfc,me_time,date,family,group_study,topPurposes,detectedFacilities,reviewCount
ChIJw-3CpOPdaC4R07kl4lo70Pk,Kalitaliberika Coffee Shop,0,68,68,0,0,me_time|date,quiet_atmosphere,31
ChIJw-nIq6XnaC4Ri2RK7Dy8bQE,Kanaya Resto & Cafe,90,100,100,100,100,me_time|date|family|group_study|wfc,mushola|quiet_atmosphere|kid_friendly,1000
ChIJf8Jdi6TpaC4RmACQxwydr_I,KANKEI JAPANESE COFFEE,90,90,0,0,0,wfc|me_time,,491
ChIJH4FGeWfdaC4Ruv4iKCVejJQ,Karana Guesthouse Syariah Bandung Luang Cafe - Single Room,0,0,0,0,0,,,1
ChIJRTHiE7XDaC4RsO4akqwJQ2A,KAUL KOPI - COFFEE ROASTER,0,0,0,0,0,,,2
ChIJB-JkIyLdaC4Rlx7D0roHVs0,KBU Coffee,0,90,0,100,100,family|group_study|me_time,parking,422
ChIJJwumTBrdaC4RRGKYvRDj3ig,KD coffee shop,0,0,68,0,0,date,,129
ChIJ0xBGbuvnaC4R2rN0-2XBoyQ,Kedai Dermaga,0,68,100,0,0,date|me_time,mushola|parking,589
ChIJA3JAm_fnaC4RZ_7IWJDQws4,Kedai Kawani,68,90,90,0,100,group_study|me_time|date|wfc,mushola,1129
ChIJP4Gnvm_DaC4REQPuQVgdg0Q,Kedai Under Tree Coffee,0,0,0,90,68,family|group_study,,109
ChIJBU58g6rdaC4RAA5FPsHzR8c,Kedai VW/CAfe Jana,0,100,100,100,100,me_time|date|family|group_study,quiet_atmosphere,613
ChIJ7bDJPfPnaC4RAD88N2FM-yI,KENARI COFFEE,0,0,0,0,0,,,69
ChIJ96zaFZnpaC4RpGNHyhA2gic,Kirana Coffee shop,68,0,0,0,0,wfc,power_outlet,27
ChIJcyxK9xzoaC4RqnpJeE80v38,Kiyoz Kopi Roastery,0,0,68,90,0,family|date,mushola,411
ChIJ1d2ul4DDaC4RUDlS_vJBADc,Kkomi Cafe,100,100,100,90,68,wfc|me_time|date|family|group_study,quiet_atmosphere,557
ChIJUaTNRgDDaC4Rjs56Gcecu8A,Koat Coffee Bandung,100,100,100,100,90,wfc|me_time|date|family|group_study,wifi|parking|quiet_atmosphere|outdoor_area,2086
ChIJmdYQIBnoaC4ROliSOt0ZV-8,KOPERASI MITRA MALABAR - COFFEE SHOP,0,0,0,0,0,,,88
ChIJvSW0YgPDaC4RqOi0_OsjjeM,Kopi Soe Summarecon Bandung,100,100,100,68,68,wfc|me_time|date|family|group_study,wifi|power_outlet|quiet_atmosphere|outdoor_area,1024
ChIJUZG5wi3DaC4RNBG1tvKMiz4,Kopilahdulu Coffee,0,68,68,0,68,me_time|date|group_study,,308
ChIJH0hKuQLDaC4REYPracLiRiE,Kost Kontrakan Buana Studios Co-Working Co-Living Space,0,0,0,0,0,,,21
ChIJWeH8f13naC4RuUpx9rYoVPI,Ksatria Cafe,0,0,0,90,68,family|group_study,parking,50
ChIJi-dS-zvnaC4R0y5VjXWlO1k,Kue Balok & Kopi Sikomo Panghegar,100,100,68,68,0,wfc|me_time|date|family,,562
ChIJHwYMt3ndaC4R2gaFxr1Ly-U,Kyandra Coffee House 39,0,0,0,0,0,,,1
ChIJLxVjfSrnaC4ROYc3bK9TCuE,L'amore Coffee,100,90,68,68,0,wfc|me_time|date|family,power_outlet|mushola|quiet_atmosphere,708
ChIJ1VXdMkrdaC4RX6Sv8grrMq8,LANGGAR SPACE COFFEE,0,100,100,68,68,me_time|date|family|group_study,quiet_atmosphere,420
ChIJI5ZINNbdaC4RuVt-Q5sLXpw,LARCADE Cafe & Eatery,100,100,0,0,68,wfc|me_time|group_study,wifi|mushola|parking|quiet_atmosphere,378
ChIJKy_RPgDdaC4REuqtm0mVdtY,LASUMI SPKLU Carwash & Coffeeshop (One Stop Service Area),0,0,68,100,0,family|date,mushola|parking,418
ChIJr66oueDCaC4RLZgF9NIGHzQ,Laundry Cafe,0,0,0,0,0,,,1
ChIJLZ2TeirDaC4RFxR5CpLO5pY,Lawang Lengkung Coffee,100,100,100,100,68,wfc|me_time|date|family|group_study,wifi|power_outlet|parking|quiet_atmosphere|outdoor_area,2246
ChIJE8cxqzrmaC4RO2RoxpmGxgg,LB Bar & Resto ( La Baraga ),0,100,100,90,100,me_time|date|group_study|family,parking|quiet_atmosphere|outdoor_area,1540
ChIJT9kfoVzmaC4Ru6V0RhUMcrI,Lemongrass Cafe,0,68,68,0,0,me_time|date,,128
ChIJaUajEobnaC4RVwclAlad5I0,Linara Collective + Ant Bakery and Cafe,100,100,100,68,68,wfc|me_time|date|family|group_study,quiet_atmosphere,693
ChIJm_Wi2e3paC4RWbepcE5sd5c,LINKCO.ID,90,100,90,90,68,me_time|wfc|date|family|group_study,quiet_atmosphere,427
ChIJ5wX01DnmaC4RQ9vm2XmOu3U,Little Bandung Cafe,0,0,0,0,0,,,22
ChIJ87IvYe_naC4R2QUbmfYwGa0,Little Sky Coffee,68,100,100,90,0,me_time|date|family|wfc,wifi|mushola|parking|quiet_atmosphere,384
ChIJy3OBnWzmaC4Rnf_e908MKgY,Lolipop Cafe,0,68,90,0,0,date|me_time,,100
ChIJUf1OTU7naC4R-CzdHpg7tvM,LOY CAFE,100,100,68,100,100,wfc|me_time|family|group_study|date,quiet_atmosphere,524
ChIJJ0J_t5_naC4RXnLyDsNKaTk,LS Plus Lakipadada,0,100,100,100,100,me_time|date|family|group_study,quiet_atmosphere|outdoor_area,571
ChIJY-a_HmbdaC4RIYIsAnOlCzc,LUANG Cafe dan KARANA Guest House Bandung,100,100,90,100,100,wfc|me_time|family|group_study|date,parking|quiet_atmosphere,1157
ChIJc8_6bjHdaC4RPmWYDDs7ABg,M.J Cafe,0,100,68,90,90,me_time|family|group_study|date,quiet_atmosphere,411
ChIJc9OmipLpaC4RtEbxjdgV7Cc,Madre Coffee N Chill,68,0,0,90,68,family|wfc|group_study,wifi,461
ChIJV28tzV3daC4R1uEP3aN1Nf4,MAKNA HOUSE (Coffee & Tea),0,0,0,0,0,,,82
ChIJ-TX5wx3oaC4Rwzldy6mzeiU,Manhattan Coffee,0,0,0,0,0,,,2
ChIJmy9CHgDdaC4RbYqMMWAYj4c,MANIK CAFE - BANDUNG UTARA,0,0,68,0,0,date,,8
ChIJy-fG-ErpaC4RaXnan3zQI58,Marsfarm Sushi & Ramen,90,100,100,100,100,me_time|date|family|group_study|wfc,mushola|parking|quiet_atmosphere|outdoor_area,1636
ChIJeTVildXpaC4RVAs8hls1UtQ,Masterpiece Billiard & Cafe,0,68,0,90,90,family|group_study|me_time,,801
ChIJEb9OqQ_DaC4RZ4ZrH3W2L6E,MATAKAYU CAFE,0,0,0,0,0,,,1
ChIJeWyrQ5HnaC4RBbTWYbz_N44,Matrix Music & recording Studio,68,100,0,100,0,me_time|family|wfc,,1097
ChIJCWYUk87paC4R74Hftkw0BOo,Matte coffee,0,90,0,0,68,me_time|group_study,quiet_atmosphere|outdoor_area,92
ChIJebT5El3DaC4R3J7Y84gw8NA,Mavico Coffee Roastery & Clothing,0,0,0,0,0,,,1
ChIJ8XqWMADDaC4Roi3RMG_vtKM,Mavico Coffee Roastery & Good food,0,0,0,0,0,,,1
ChIJmzUDm8nnaC4RoaJTcF3TR4w,MAXX Coffee,100,100,100,68,68,wfc|me_time|date|family|group_study,wifi|parking|quiet_atmosphere|outdoor_area,2064
ChIJfVAneZHnaC4Rp1P1yVpHlzA,Mc Cafe,0,0,0,0,0,,,1
ChIJ4QR95C7paC4RUWRyjCKmI3A,Me & Coffee,68,0,0,0,0,wfc,,109
ChIJI_Il5H_naC4Rsi5eAUzVv4s,Merawat Coffee & Eatery,100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|power_outlet|quiet_atmosphere|outdoor_area,1214
ChIJMezcs5znaC4RtoYpN_Kdhog,Mercusuar Cafe & Resto,0,90,100,100,100,date|family|group_study|me_time,parking|quiet_atmosphere|outdoor_area,2741
ChIJ98UtuVbdaC4RcpDmWvyMuec,Mih Kocok Mang Dadeng Arcamanik,0,90,0,100,100,family|group_study|me_time,parking,1055
ChIJs_MHAkfnaC4ReJqsnvOw0B8,Miliki Coffee,100,100,90,100,0,wfc|me_time|family|date,wifi|parking|outdoor_area,1299
ChIJk7FM37HdaC4R4i4uH-0dU6w,Minkop Coffee Shop,0,0,0,0,0,,,2
ChIJz2qnp33naC4RVXcpzc9VR1s,MIXX CAFE,0,0,0,0,0,,,1
ChIJUwL-KjTmaC4RTYUUd-oPV04,MJ Coffee,0,90,0,90,0,me_time|family,parking,141
ChIJC-HFgjDmaC4R3-kABgt6wXI,MM Cafe & Bandung.me Apartment for Rent - Sewa Apartemen Harian di Bandung,0,68,0,0,68,me_time|group_study,,43
ChIJLapQ337naC4RQMJGUMy8QqQ,"Mochi,cemilan mochi,mochi padat,variant mochi,aneka coffee,minuman series yakult (Mocha Mochi Antapani)",0,0,0,68,0,family,parking,254
ChIJB5l2cADdaC4RPCJLyOJuIeQ,Moje coffee,100,0,68,0,0,wfc|date,wifi|parking,250
ChIJi8HmeQbnaC4RdfdaG5iuejE,Mokka Coffee Cabana - Paskal (Bandung),100,100,100,100,100,wfc|me_time|date|family|group_study,wifi|power_outlet|quiet_atmosphere|outdoor_area,1787
ChIJMa7J8F7daC4RzrLHldLYjhs,Molekul Coffee & Eatery,100,100,68,0,90,wfc|me_time|group_study|date,wifi|power_outlet|quiet_atmosphere|outdoor_area,1158
ChIJrc81UgDdaC4RWCOv2ZZX8x0,Mood Coffee Shop,0,0,0,0,0,,,4
ChIJIaq_G7nnaC4RL2rQTe70zk8,Mori Go Coffee,0,0,0,0,0,,,2
ChIJqch-8u7naC4R5HNQbVD2i4E,Morning Glory Coffee Antapani Outlet,100,100,100,100,100,wfc|me_time|date|family|group_study,power_outlet|parking|quiet_atmosphere,1172
ChIJMwcMvRnoaC4R7wTJoWcO6yE,Mugs Cafe,0,0,0,0,0,,,7
ChIJ-ZmpVADDaC4RrMaNhk1bbRc,MukaBumi Coffee,90,100,100,0,90,me_time|date|wfc|group_study,parking|quiet_atmosphere,203
